,Byte Value : 0,Byte Value : 1,Byte Value : 2,Byte Value : 3,Byte Value : 4,Byte Value : 5,Byte Value : 6,Byte Value : 7,Byte Value : 8,Byte Value : 9,Byte Value : 10,Byte Value : 11,Byte Value : 12,Byte Value : 13,Byte Value : 14,Byte Value : 15,Byte Value : 16,Byte Value : 17,Byte Value : 18,Byte Value : 19,Byte Value : 20,Byte Value : 21,Byte Value : 22,Byte Value : 23,Byte Value : 24,Byte Value : 25,Byte Value : 26,Byte Value : 27,Byte Value : 28,Byte Value : 29,Byte Value : 30,Byte Value : 31,Byte Value : 32,Byte Value : 33,Byte Value : 34,Byte Value : 35,Byte Value : 36,Byte Value : 37,Byte Value : 38,Byte Value : 39,Byte Value : 40,Byte Value : 41,Byte Value : 42,Byte Value : 43,Byte Value : 44,Byte Value : 45,Byte Value : 46,Byte Value : 47,Byte Value : 48,Byte Value : 49,Byte Value : 50,Byte Value : 51,Byte Value : 52,Byte Value : 53,Byte Value : 54,Byte Value : 55,Byte Value : 56,Byte Value : 57,Byte Value : 58,Byte Value : 59,Byte Value : 60,Byte Value : 61,Byte Value : 62,Byte Value : 63,Byte Value : 64,Byte Value : 65,Byte Value : 66,Byte Value : 67,Byte Value : 68,Byte Value : 69,Byte Value : 70,Byte Value : 71,Byte Value : 72,Byte Value : 73,Byte Value : 74,Byte Value : 75,Byte Value : 76,Byte Value : 77,Byte Value : 78,Byte Value : 79,Byte Value : 80,Byte Value : 81,Byte Value : 82,Byte Value : 83,Byte Value : 84,Byte Value : 85,Byte Value : 86,Byte Value : 87,Byte Value : 88,Byte Value : 89,Byte Value : 90,Byte Value : 91,Byte Value : 92,Byte Value : 93,Byte Value : 94,Byte Value : 95,Byte Value : 96,Byte Value : 97,Byte Value : 98,Byte Value : 99,Byte Value : 100,Byte Value : 101,Byte Value : 102,Byte Value : 103,Byte Value : 104,Byte Value : 105,Byte Value : 106,Byte Value : 107,Byte Value : 108,Byte Value : 109,Byte Value : 110,Byte Value : 111,Byte Value : 112,Byte Value : 113,Byte Value : 114,Byte Value : 115,Byte Value : 116,Byte Value : 117,Byte Value : 118,Byte Value : 119,Byte Value : 120,Byte Value : 121,Byte Value : 122,Byte Value : 123,Byte Value : 124,Byte Value : 125,Byte Value : 126,Byte Value : 127,Byte Value : 128,Byte Value : 129,Byte Value : 130,Byte Value : 131,Byte Value : 132,Byte Value : 133,Byte Value : 134,Byte Value : 135,Byte Value : 136,Byte Value : 137,Byte Value : 138,Byte Value : 139,Byte Value : 140,Byte Value : 141,Byte Value : 142,Byte Value : 143,Byte Value : 144,Byte Value : 145,Byte Value : 146,Byte Value : 147,Byte Value : 148,Byte Value : 149,Byte Value : 150,Byte Value : 151,Byte Value : 152,Byte Value : 153,Byte Value : 154,Byte Value : 155,Byte Value : 156,Byte Value : 157,Byte Value : 158,Byte Value : 159,Byte Value : 160,Byte Value : 161,Byte Value : 162,Byte Value : 163,Byte Value : 164,Byte Value : 165,Byte Value : 166,Byte Value : 167,Byte Value : 168,Byte Value : 169,Byte Value : 170,Byte Value : 171,Byte Value : 172,Byte Value : 173,Byte Value : 174,Byte Value : 175,Byte Value : 176,Byte Value : 177,Byte Value : 178,Byte Value : 179,Byte Value : 180,Byte Value : 181,Byte Value : 182,Byte Value : 183,Byte Value : 184,Byte Value : 185,Byte Value : 186,Byte Value : 187,Byte Value : 188,Byte Value : 189,Byte Value : 190,Byte Value : 191,Byte Value : 192,Byte Value : 193,Byte Value : 194,Byte Value : 195,Byte Value : 196,Byte Value : 197,Byte Value : 198,Byte Value : 199,Byte Value : 200,Byte Value : 201,Byte Value : 202,Byte Value : 203,Byte Value : 204,Byte Value : 205,Byte Value : 206,Byte Value : 207,Byte Value : 208,Byte Value : 209,Byte Value : 210,Byte Value : 211,Byte Value : 212,Byte Value : 213,Byte Value : 214,Byte Value : 215,Byte Value : 216,Byte Value : 217,Byte Value : 218,Byte Value : 219,Byte Value : 220,Byte Value : 221,Byte Value : 222,Byte Value : 223,Byte Value : 224,Byte Value : 225,Byte Value : 226,Byte Value : 227,Byte Value : 228,Byte Value : 229,Byte Value : 230,Byte Value : 231,Byte Value : 232,Byte Value : 233,Byte Value : 234,Byte Value : 235,Byte Value : 236,Byte Value : 237,Byte Value : 238,Byte Value : 239,Byte Value : 240,Byte Value : 241,Byte Value : 242,Byte Value : 243,Byte Value : 244,Byte Value : 245,Byte Value : 246,Byte Value : 247,Byte Value : 248,Byte Value : 249,Byte Value : 250,Byte Value : 251,Byte Value : 252,Byte Value : 253,Byte Value : 254,Byte Value : 255
0 Trailer Byte,0.931208762015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851256530759,0.0,0.0695048046857,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0851256530759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0
1 Trailer Byte,0.93250480824,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0695048046857,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0
2 Trailer Byte,0.926006437723,0.0982946374366,0.0695048046857,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0695048046857,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0
3 Trailer Byte,0.887377942889,0.15541746804,0.0,0.0851256530759,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0695048046857,0.109896745566,0.0695048046857,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0695048046857,0.0,0.0,0.0,0.0,0.0695048046857,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0851256530759,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0695048046857,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0695048046857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695048046857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0851256530759,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0,0.0,0.0695048046857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0
4 Trailer Byte,0.0695048046857,0.15541746804,0.0695048046857,0.120385853086,0.120385853086,0.208514414057,0.170251306152,0.170251306152,0.0982946374366,0.15541746804,0.139009609371,0.0851256530759,0.0695048046857,0.109896745566,0.0491473187183,0.0491473187183,0.0491473187183,0.0982946374366,0.0695048046857,0.0491473187183,0.0491473187183,0.0,0.0,0.0851256530759,0.0982946374366,0.0982946374366,0.0491473187183,0.0851256530759,0.0982946374366,0.0851256530759,0.130031582934,0.0982946374366,0.0982946374366,0.0491473187183,0.0695048046857,0.0982946374366,0.109896745566,0.0851256530759,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0,0.0851256530759,0.0851256530759,0.0851256530759,0.0491473187183,0.0982946374366,0.120385853086,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0982946374366,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0982946374366,0.0491473187183,0.0695048046857,0.0491473187183,0.0,0.0491473187183,0.0695048046857,0.0851256530759,0.0851256530759,0.0491473187183,0.0851256530759,0.0491473187183,0.0851256530759,0.0982946374366,0.0695048046857,0.0851256530759,0.0851256530759,0.0491473187183,0.0695048046857,0.0,0.0,0.0851256530759,0.0695048046857,0.0,0.0491473187183,0.0851256530759,0.0,0.0491473187183,0.0695048046857,0.0491473187183,0.0,0.0851256530759,0.0491473187183,0.0491473187183,0.0695048046857,0.0695048046857,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0695048046857,0.0851256530759,0.0,0.0695048046857,0.0491473187183,0.0695048046857,0.0851256530759,0.0982946374366,0.0491473187183,0.0695048046857,0.0982946374366,0.0491473187183,0.0695048046857,0.120385853086,0.0491473187183,0.0695048046857,0.0982946374366,0.0695048046857,0.0491473187183,0.0695048046857,0.0,0.0695048046857,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0,0.0851256530759,0.0491473187183,0.0491473187183,0.0695048046857,0.0851256530759,0.0695048046857,0.0695048046857,0.0,0.0695048046857,0.0695048046857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0695048046857,0.0,0.0,0.0,0.0491473187183,0.0,0.0695048046857,0.0,0.0491473187183,0.0695048046857,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0491473187183,0.0982946374366,0.0,0.0851256530759,0.0491473187183,0.0491473187183,0.0491473187183,0.0491473187183,0.0491473187183,0.0695048046857,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0491473187183,0.0695048046857,0.0,0.0491473187183,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0491473187183,0.0695048046857,0.0695048046857,0.0,0.0,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0491473187183,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0,0.0491473187183,0.0,0.0,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0,0.0851256530759,0.0,0.0491473187183,0.0491473187183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491473187183,0.0,0.0
5 Trailer Byte,0.0695048046857,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0851256530759,0.0491473187183,0.0851256530759,0.120385853086,0.0,0.0491473187183,0.0851256530759,0.0695048046857,0.0491473187183,0.0851256530759,0.0695048046857,0.0491473187183,0.0982946374366,0.0,0.0695048046857,0.0,0.0491473187183,0.0851256530759,0.0695048046857,0.0491473187183,0.0695048046857,0.109896745566,0.0851256530759,0.0695048046857,0.0982946374366,0.0695048046857,0.0491473187183,0.0695048046857,0.0,0.109896745566,0.0851256530759,0.0,0.0,0.0851256530759,0.0,0.0,0.0491473187183,0.0491473187183,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0491473187183,0.0982946374366,0.0,0.0695048046857,0.0,0.0695048046857,0.0,0.0695048046857,0.0,0.0695048046857,0.0695048046857,0.0491473187183,0.0695048046857,0.0491473187183,0.0851256530759,0.0695048046857,0.0695048046857,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0695048046857,0.0,0.0,0.0851256530759,0.0491473187183,0.0,0.0491473187183,0.0695048046857,0.0695048046857,0.0695048046857,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0695048046857,0.0695048046857,0.0491473187183,0.0695048046857,0.0491473187183,0.0491473187183,0.0851256530759,0.0695048046857,0.0695048046857,0.0,0.0695048046857,0.0491473187183,0.0491473187183,0.0491473187183,0.109896745566,0.0695048046857,0.0982946374366,0.0491473187183,0.0491473187183,0.0695048046857,0.0695048046857,0.0491473187183,0.0,0.0,0.0695048046857,0.0851256530759,0.0,0.0491473187183,0.0491473187183,0.0491473187183,0.0851256530759,0.0491473187183,0.0491473187183,0.0695048046857,0.0491473187183,0.0982946374366,0.0491473187183,0.0851256530759,0.0851256530759,0.0491473187183,0.0491473187183,0.0491473187183,0.0695048046857,0.0,0.0695048046857,0.0,0.0491473187183,0.0,0.0491473187183,0.0695048046857,0.0695048046857,0.0695048046857,0.0851256530759,0.0695048046857,0.0491473187183,0.0491473187183,0.109896745566,0.0,0.0851256530759,0.0982946374366,0.120385853086,0.0491473187183,0.0695048046857,0.0491473187183,0.0491473187183,0.0,0.0851256530759,0.0491473187183,0.0695048046857,0.0491473187183,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0851256530759,0.0851256530759,0.0695048046857,0.0695048046857,0.0695048046857,0.0491473187183,0.0851256530759,0.0851256530759,0.0982946374366,0.0,0.0491473187183,0.0851256530759,0.0,0.0982946374366,0.0851256530759,0.0491473187183,0.0491473187183,0.0,0.0491473187183,0.0,0.0491473187183,0.0491473187183,0.0,0.0695048046857,0.0695048046857,0.0,0.0851256530759,0.0982946374366,0.0491473187183,0.0695048046857,0.0695048046857,0.0695048046857,0.0491473187183,0.0,0.0695048046857,0.0,0.0695048046857,0.0491473187183,0.0695048046857,0.0695048046857,0.0491473187183,0.0,0.0851256530759,0.0982946374366,0.0695048046857,0.0491473187183,0.0491473187183,0.0491473187183,0.0491473187183,0.0491473187183,0.0,0.0982946374366,0.0695048046857,0.0695048046857,0.0,0.0695048046857,0.0491473187183,0.0,0.0695048046857,0.0491473187183,0.0491473187183,0.0851256530759,0.0695048046857,0.0491473187183,0.0695048046857,0.0695048046857,0.0491473187183,0.0695048046857,0.0851256530759,0.0,0.0,0.109896745566,0.109896745566,0.0491473187183,0.0,0.0695048046857,0.0,0.0491473187183,0.0,0.0982946374366,0.0491473187183,0.0491473187183,0.0491473187183,0.0491473187183,0.0851256530759,0.0695048046857,0.0491473187183,0.0491473187183,0.0695048046857,0.0491473187183,0.0,0.0982946374366,0.0695048046857,0.0,0.0491473187183,0.0
